t,u,theta,phi
0,0,2.914847e-05,0.003309727
0.01,0,6.674195e-05,-0.001552582
0.02,0,8.142753e-05,-0.001552582
0.03,0,6.98564e-05,-0.001552582
0.04,0,8.648897e-05,-0.001552582
0.05,0,0.0001692629,-0.001552582
0.06,0,0.0001446208,-0.001552582
0.07,0,7.612008e-05,0.003309727
0.08,0,7.86759e-05,-0.001552582
0.09,0,1.819654e-05,-0.001552582
0.1,0,4.933789e-05,-0.001552582
0.11,0,-5.393594e-05,0.003309727
0.12,0,-8.008201e-05,-0.001552582
0.13,0,-4.168837e-05,0.003309727
0.14,0,-2.369085e-05,0.003309727
0.15,0,-4.039918e-05,0.003309727
0.16,0,1.698576e-06,-0.001552582
0.17,0,-1.265009e-05,-0.001552582
0.18,0,1.428297e-05,-0.001552582
0.19,0,7.927905e-05,-0.001552582
0.2,0,0.0001375362,-0.001552582
0.21,0,0.000167359,-0.001552582
0.22,0,0.0001893501,-0.001552582
0.23,0,0.00012275,-0.001552582
0.24,0,3.607147e-05,-0.001552582
0.25,0,1.186362e-05,-0.001552582
0.26,0,7.694885e-05,-0.001552582
0.27,0,0.0001812661,-0.001552582
0.28,0,0.0001636288,-0.001552582
0.29,0,0.000216407,-0.001552582
0.3,0,0.0001702717,-0.001552582
0.31,0,0.0001954138,0.003309727
0.32,0,0.0002393686,-0.001552582
0.33,0,0.0002623506,-0.001552582
0.34,0,0.0002236861,-0.001552582
0.35,0,0.0001643959,-0.001552582
0.36,0,0.0001503156,-0.001552582
0.37,0,0.0001283492,-0.001552582
0.38,0,0.0001785107,-0.001552582
0.39,0,0.0002386131,-0.001552582
0.4,0,0.0002093586,0.003309727
0.41,0,0.0001287016,-0.001552582
0.42,0,0.0001695379,-0.001552582
0.43,0,0.0001646639,-0.001552582
0.44,0,0.0001293752,0.003309727
0.45,0,2.386791e-05,-0.001552582
0.46,0,1.765474e-05,-0.001552582
0.47,0,-1.444969e-05,0.003309727
0.48,0,-5.069457e-05,0.003309727
0.49,0,-6.713007e-05,-0.001552582
0.5,0,-0.0001297269,-0.001552582
0.51,0,-0.0001759707,0.003309727
0.52,0,-0.0002067407,0.003309727
0.53,0,-0.0002700586,-0.001552582
0.54,0,-0.0002493596,-0.001552582
0.55,0,-0.0002561604,0.003309727
0.56,0,-0.0002524668,0.003309727
0.57,0,-0.0002623815,-0.001552582
0.58,0,-0.0003378186,0.003309727
0.59,0,-0.0003555433,0.003309727
0.6,0,-0.0003389497,0.003309727
0.61,0,-0.0003958965,0.003309727
0.62,0,-0.0003926535,0.003309727
0.63,0,-0.0004586561,-0.001552582
0.64,0,-0.0005183615,0.003309727
0.65,0,-0.0003906238,0.003309727
0.66,0,-0.0003405088,0.003309727
0.67,0,-0.0003801443,-0.001552582
0.68,0,-0.0004269051,-0.001552582
0.69,0,-0.0004036177,-0.001552582
0.7,0,-0.0003607594,0.003309727
0.71,0,-0.0003502572,0.003309727
0.72,0,-0.0003560802,0.003309727
0.73,0,-0.0003122661,-0.001552582
0.74,0,-0.0003745302,-0.001552582
0.75,0,-0.0003667136,0.003309727
0.76,0,-0.0003643234,0.003309727
0.77,0,-0.0003428286,0.003309727
0.78,0,-0.0002805878,-0.001552582
0.79,0,-0.0003171939,-0.001552582
0.8,0,-0.0002587635,0.003309727
0.81,0,-0.0002358208,0.003309727
0.82,0,-0.0002429838,0.003309727
0.83,0,-0.0002526008,-0.001552582
0.84,0,-0.0003479702,-0.001552582
0.85,0,-0.0004205494,-0.001552582
0.86,0,-0.0003948058,0.003309727
0.87,0,-0.000396765,-0.001552582
0.88,0,-0.0004407208,-0.001552582
0.89,0,-0.0005057954,-0.001552582
0.9,0,-0.0003963766,-0.001552582
0.91,0,-0.0003434805,-0.001552582
0.92,0,-0.0003056267,0.003309727
0.93,0,-0.0002668245,-0.001552582
0.94,0,-0.0003667322,-0.001552582
0.95,0,-0.0003400042,0.003309727
0.96,0,-0.0003472548,0.003309727
0.97,0,-0.0002718004,-0.001552582
0.98,0,-0.0002836691,-0.001552582
0.99,0,-0.000294578,0.003309727
1,-0.5235988,-0.000372006,-0.001552582
1.01,-0.5235988,-0.0004005811,0.04220891
1.02,-0.5235988,-0.003400355,0.03248405
1.03,-0.5235988,-0.02295544,0.04220891
1.04,-0.5235988,-0.04159363,0.05679584
1.05,-0.5235988,-0.04011995,0.08596992
