t,u,theta,phi
1.47,-0.5235988,-0.2576322,0.5249918
1.48,-0.5235988,-0.266986,0.5249918
1.49,-0.5235988,-0.2744528,0.5249918
1.5,-0.5235988,-0.2788363,0.5298541
1.51,-0.5235988,-0.2848473,0.5249918
1.52,-0.5235988,-0.2998037,0.5249918
1.53,-0.5235988,-0.3097154,0.5201294
1.54,-0.5235988,-0.3043,0.5249918
1.55,-0.5235988,-0.298329,0.5249918
1.56,-0.5235988,-0.2945898,0.5201294
1.57,-0.5235988,-0.298933,0.5249918
1.58,-0.5235988,-0.2989213,0.5249918
1.59,-0.5235988,-0.2883361,0.5249918
1.6,-0.5235988,-0.27403,0.5201294
1.61,-0.5235988,-0.259851,0.5249918
1.62,-0.5235988,-0.2488538,0.5249918
1.63,-0.5235988,-0.2408046,0.5249918
1.64,-0.5235988,-0.2266017,0.5249918
1.65,-0.5235988,-0.2073862,0.5249918
1.66,-0.5235988,-0.1857709,0.5249918
1.67,-0.5235988,-0.1645757,0.5249918
1.68,-0.5235988,-0.148026,0.5298541
1.69,-0.5235988,-0.1313734,0.5249918
1.7,-0.5235988,-0.1086969,0.5249918
1.71,-0.5235988,-0.08403422,0.5249918
1.72,-0.5235988,-0.06009877,0.5249918
1.73,-0.5235988,-0.03774095,0.5298541
1.74,-0.5235988,-0.01801462,0.5249918
1.75,-0.5235988,0.004000729,0.5249918
1.76,-0.5235988,0.02834026,0.5201294
1.77,-0.5235988,0.05241358,0.5201294
1.78,-0.5235988,0.07402443,0.5249918
1.79,-0.5235988,0.09403669,0.5249918
1.8,-0.5235988,0.1144323,0.5249918
1.81,-0.5235988,0.1355919,0.5249918
1.82,-0.5235988,0.1556671,0.5249918
1.83,-0.5235988,0.1743998,0.5249918
1.84,-0.5235988,0.1909567,0.5249918
1.85,-0.5235988,0.205574,0.5249918
1.86,-0.5235988,0.2203295,0.5249918
1.87,-0.5235988,0.2349788,0.5249918
1.88,-0.5235988,0.2477088,0.5201294
1.89,-0.5235988,0.2578449,0.5249918
1.9,-0.5235988,0.2665389,0.5249918
1.91,-0.5235988,0.2742836,0.5249918
